pwt7.fiveyma,pred_y,lower,upper
-9,0.07874,0.0218989,0.2460105
-8,0.06786,0.0194766,0.2106188
-7,0.058388,0.0172216,0.1799413
-6,0.050167,0.015132,0.1536626
-5,0.0430506,0.0132066,0.1313583
-4,0.0369045,0.0114445,0.112555
-3,0.0316068,0.0098446,0.0967738
-2,0.0270483,0.0084049,0.0835603
-1,0.0231315,0.0071219,0.0725017
0,0.0197703,0.0059902,0.0632349
1,0.0168892,0.0050023,0.0554484
2,0.0144217,0.004149,0.0488801
3,0.0123102,0.0034195,0.0433122
4,0.0105045,0.0028017,0.0385663
5,0.0089613,0.0022832,0.0344969
6,0.0076431,0.0018517,0.0309861
7,0.0065175,0.0014951,0.0279387
8,0.0055567,0.0012025,0.0252778
9,0.0047369,0.0009638,0.022941
